GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,PKCE,7,30,0,0,2,5,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowBaseListener,1,8,0,0,1,6,1,6,1,6
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,ConsumerErrorListener,0,26,0,0,0,5,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.WwwAuthenticateContext,21,21,2,2,5,6,7,3,5,3
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser,34,447,6,21,11,101,10,17,4,9
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser,22,272,0,16,8,57,4,16,4,8
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateBaseListener,1,10,0,0,1,8,1,8,1,8
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkLexer,16,233,0,8,8,27,8,9,8,5
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkParser,22,354,0,18,8,79,4,18,4,9
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkParser.LinkHeaderContext,12,21,2,2,3,6,5,3,3,3
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateLexer,16,233,0,8,8,27,8,9,8,5
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser.WacAllowContext,16,25,2,2,4,7,6,4,4,4
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkBaseListener,1,10,0,0,1,8,1,8,1,8
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.ChallengeContext,25,30,2,2,6,8,8,5,6,5
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkParser.LinkContext,16,30,2,2,4,8,6,5,4,5
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowLexer,16,201,0,8,8,27,8,9,8,5
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpService,0,171,0,8,0,34,0,13,0,9
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpResponseInfo,13,22,0,0,3,6,1,4,1,4
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpResponse,0,26,0,0,0,9,0,5,0,5
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpService.new Callback() {...},6,36,0,0,2,5,1,2,1,2
Inrupt Client Libraries - Report/inrupt-client-httpclient,com.inrupt.client.httpclient,HttpClientService,5,108,0,4,1,20,1,8,1,6
Inrupt Client Libraries - Report/inrupt-client-httpclient,com.inrupt.client.httpclient,HttpClientResponseInfo,0,26,0,0,0,8,0,5,0,5
Inrupt Client Libraries - Report/inrupt-client-httpclient,com.inrupt.client.httpclient,HttpClientResponse,0,26,0,0,0,9,0,5,0,5
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JService,0,175,0,2,0,42,0,8,0,7
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JDataset,0,122,1,9,0,27,1,9,0,5
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JTriple,8,68,3,7,3,17,3,6,0,4
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JBodyPublishers,0,44,0,0,0,9,0,7,0,7
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JQuad,0,50,0,8,0,12,0,7,0,3
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JGraph,0,150,0,22,0,36,0,19,0,8
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JBodyHandlers,26,83,0,0,4,15,2,7,2,7
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaClient,45,411,1,17,9,83,3,31,2,22
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaException,0,9,0,0,0,4,0,2,0,2
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,TokenResponse,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,ClaimGatheringHandler,35,0,8,0,7,0,5,0,1,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,InvalidGrantException,5,4,0,0,2,2,1,1,1,1
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,Metadata,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,NeedInfo,7,65,0,8,2,14,2,7,2,3
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,ClaimToken,0,25,0,0,0,7,0,4,0,4
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,ErrorResponse,0,3,0,0,0,1,0,1,0,1
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,InvalidScopeException,5,4,0,0,2,2,1,1,1,1
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,RequiredClaims,78,6,8,0,19,3,13,1,9,1
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,TokenRequest,0,43,0,2,0,14,0,7,0,6
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,RequestDeniedException,5,4,0,0,2,2,1,1,1,1
Inrupt Client Libraries - Report/inrupt-client-webid,com.inrupt.client.webid,WebIdBodyHandlers,7,101,0,0,2,27,0,3,0,3
Inrupt Client Libraries - Report/inrupt-client-webid,com.inrupt.client.webid,WebIdProfile.Builder,0,82,0,0,0,20,0,6,0,6
