GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,EndSessionRequest.Builder,31,0,0,0,8,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,TokenResponse,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdAuthenticationProvider.OpenIdAuthenticator,65,0,0,0,12,0,7,0,7,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,TokenRequest,49,0,0,0,17,0,9,0,9,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdVerificationConfig,27,0,0,0,11,0,7,0,7,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,OpenIdException,41,0,4,0,11,0,7,0,5,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,AuthorizationRequest.Builder,67,0,0,0,18,0,8,0,8,0
Inrupt Client Libraries - Report/inrupt-client-openid,com.inrupt.client.openid,PKCE,41,0,0,0,8,0,3,0,3,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowBaseListener,9,0,0,0,7,0,7,0,7,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.WwwAuthenticateContext,42,0,4,0,11,0,10,0,8,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,ConsumerErrorListener,26,0,0,0,5,0,2,0,2,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser,481,0,27,0,112,0,27,0,13,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateBaseListener,11,0,0,0,9,0,9,0,9,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser,294,0,16,0,65,0,20,0,12,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkLexer,249,0,8,0,35,0,17,0,13,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkParser,376,0,18,0,87,0,22,0,13,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkParser.LinkHeaderContext,33,0,4,0,9,0,8,0,6,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateLexer,249,0,8,0,35,0,17,0,13,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowParser.WacAllowContext,41,0,4,0,11,0,10,0,8,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkBaseListener,11,0,0,0,9,0,9,0,9,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WwwAuthenticateParser.ChallengeContext,55,0,4,0,14,0,13,0,11,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,LinkParser.LinkContext,46,0,4,0,12,0,11,0,9,0
Inrupt Client Libraries - Report/inrupt-client-parser,com.inrupt.client.parser,WacAllowLexer,217,0,8,0,35,0,17,0,13,0
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpService,171,0,8,0,34,0,13,0,9,0
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpResponseInfo,35,0,0,0,9,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpResponse,26,0,0,0,9,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-okhttp,com.inrupt.client.okhttp,OkHttpService.new Callback() {...},42,0,0,0,7,0,3,0,3,0
Inrupt Client Libraries - Report/inrupt-client-httpclient,com.inrupt.client.httpclient,HttpClientService,113,0,4,0,21,0,9,0,7,0
Inrupt Client Libraries - Report/inrupt-client-httpclient,com.inrupt.client.httpclient,HttpClientResponseInfo,26,0,0,0,8,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-httpclient,com.inrupt.client.httpclient,HttpClientResponse,26,0,0,0,9,0,5,0,5,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JService,175,0,2,0,42,0,8,0,7,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JDataset,122,0,10,0,27,0,10,0,5,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JTriple,76,0,10,0,20,0,9,0,4,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JBodyPublishers,44,0,0,0,9,0,7,0,7,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JQuad,50,0,8,0,12,0,7,0,3,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JGraph,150,0,22,0,36,0,19,0,8,0
Inrupt Client Libraries - Report/inrupt-client-rdf4j,com.inrupt.client.rdf4j,RDF4JBodyHandlers,109,0,0,0,19,0,9,0,9,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaClient,456,0,18,0,92,0,34,0,24,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,TokenResponse,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,InvalidGrantException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,ClaimGatheringHandler,35,0,8,0,7,0,5,0,1,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,Metadata,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaAuthenticationProvider.NeedInfoHandler,61,0,6,0,14,0,7,0,4,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,NeedInfo,72,0,8,0,16,0,9,0,5,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,ClaimToken,25,0,0,0,7,0,4,0,4,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,ErrorResponse,3,0,0,0,1,0,1,0,1,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaAuthenticationProvider.UmaAuthenticator,117,0,0,0,23,0,9,0,9,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,InvalidScopeException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaSession,87,0,6,0,20,0,9,0,6,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,RequiredClaims,84,0,8,0,22,0,14,0,10,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,TokenRequest,43,0,2,0,14,0,7,0,6,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,RequestDeniedException,9,0,0,0,4,0,2,0,2,0
Inrupt Client Libraries - Report/inrupt-client-uma,com.inrupt.client.uma,UmaAuthenticationProvider,77,0,10,0,21,0,12,0,7,0
