GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Inrupt Client Libraries - Solid/inrupt-client-vocabulary,com.inrupt.client.vocabulary,RDF,3,7,0,0,1,2,1,1,1,1
Inrupt Client Libraries - Solid/inrupt-client-vocabulary,com.inrupt.client.vocabulary,Solid,10,0,0,0,3,0,2,0,2,0
Inrupt Client Libraries - Solid/inrupt-client-vocabulary,com.inrupt.client.vocabulary,LDP,3,27,0,0,1,7,1,1,1,1
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.Util,0,18,1,3,0,3,1,2,0,1
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultClient.Builder,12,12,1,1,3,3,2,2,1,2
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultDpopService.DPoPManager,30,105,4,4,5,25,3,4,0,3
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,AuthenticationException,5,4,0,0,2,2,1,1,1,1
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultDpopService,7,17,0,0,2,4,0,3,0,3
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser,0,116,0,8,0,24,0,9,0,5
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WwwAuthenticateHeaderParser.ChallengeListener,0,61,1,5,0,12,1,5,0,3
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultClient,18,210,1,5,2,40,2,17,1,15
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WacAllowHeaderParser,0,74,2,2,0,20,2,5,0,5
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.LinkHeaderParser,0,87,2,2,0,23,2,5,0,5
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.LinkHeaderParser.LinkListener,5,96,6,12,1,15,6,8,0,5
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WacAllowHeaderParser.AccessParamListener,0,77,0,8,0,14,0,10,0,6
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultClientProviderResolver,2,6,0,0,1,2,1,2,1,2
Inrupt Client Libraries - Solid/inrupt-client-core,com.inrupt.client.core,DefaultHeaderParser.WwwAuthenticateHeaderParser,0,74,2,2,0,20,2,5,0,5
